UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{446A044B-02E9-4606-8017-56CCA7DFD4AA};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{9195EBB8-CE0F-41C1-995F-3F8BF5623C40};Metschstand;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2603567;1143843;1833
{D8142D6A-4804-4CA4-81DC-D31365771EA1};Gondelbahn;TLM_UEBRIGE_BAHN;k_W;{056562AC-E1B1-4CA4-93DC-F0ABD932FA93};Stoss-Leiterli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2598495;1142601;1794
{8595C2B3-DC54-4A62-BDC0-1C9F0B788043};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{75C6A105-66E5-472E-8F23-1A659B4D6174};Saanen-Eggli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2586629;1146695;1389
{0E1C7AE9-1699-4FFC-9908-9B0E6D26D4A2};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{BFD8BF48-9479-4077-A3CE-C9E2EEB9547B};Bisse-Wasserngrat;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2590711;1145792;1554
{5357C8FC-547E-44DB-B33E-A5C47C45686A};Skilift;TLM_UEBRIGE_BAHN;k_W;{3693757D-04E0-45B1-AA97-3A27FCDBC44E};Balmen;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2599369;1143288;1624
{2BAE34E9-DC48-41F7-B58B-CABDFFA0E10C};Skilift;TLM_UEBRIGE_BAHN;k_W;{1CB80EE1-CB4D-47C3-B43F-2918490321C7};Stand;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2588799;1143011;1916
{E763DE26-912B-49B5-A889-84790FAAA5D1};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{7C28DDE7-C93E-4929-884C-E08281A847CC};Kaiseregg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2589969;1167549;1506
{1BD57EEE-A535-417F-96D5-E6BA68A97B09};Skilift;TLM_UEBRIGE_BAHN;k_W;{604DD3D1-050E-4AB1-ACED-295D0BFD497C};Rossberg-Ankersboden;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2600047;1164607;1241
{1A4A23E0-C531-40FE-96CC-B7D3729DC814};Skilift;TLM_UEBRIGE_BAHN;k_W;{770A9756-8CA0-4210-8841-67D09048777E};Fussmatte;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2588159;1161650;1109
{1B638E8A-7AF3-46F4-915F-2C3FAD33CFA9};Skilift;TLM_UEBRIGE_BAHN;k_W;{D0029E6A-509E-4DAA-8DD6-7DC5C19F1FCA};Schattenhalb;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2588451;1161638;1105
{1B01D2F0-F374-4DA1-B71B-9866DCF5A4E8};Skilift;TLM_UEBRIGE_BAHN;k_W;{A46E096C-A6EE-4521-95C5-FA89F4EB1999};Stalden;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2588793;1168595;1093
{75E6F64B-255D-40C2-99C6-6E5065ABBC8B};Skilift;TLM_UEBRIGE_BAHN;k_W;{798ADC4A-9CDE-4E31-A382-3FABF133E861};Zügwegen;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2592287;1160505;1555
{1586951A-5802-4CD4-8BCF-C2DBA53B8ABA};Skilift;TLM_UEBRIGE_BAHN;k_W;{3CB3C9D4-092C-4C5A-AE51-2B4A381E072E};Winteregg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2592786;1160702;1520
{4E36AD65-DDBE-4FDE-AFF6-9BFF3D285735};Skilift;TLM_UEBRIGE_BAHN;k_W;{597A3829-A201-4CB7-BFD1-E8C600AB540C};Riggisalpboden;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2589257;1166916;1454
{39C645A4-F693-43EC-97E4-45E514ED34EE};Skilift;TLM_UEBRIGE_BAHN;k_W;{2B33F28E-FFC9-4394-9F4A-7CBAB4F29955};Oberbach;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2588816;1161995;1031
{1EA4EDC0-A0E4-4F04-9766-C08ED8FC2E97};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{5CFB9499-FAC4-4BB6-AC0F-7AF380D7093F};Schwarzsee-Riggisalp;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2588698;1168104;1216
{FAE32893-A35E-426B-92B0-069C3CDC70C9};Skilift;TLM_UEBRIGE_BAHN;k_W;{F0601E3A-0587-4386-92D0-979AE69354B6};Rüschegg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2598982;1177735;1304
{8CFB5C02-D4A0-4509-983C-83EEFF557A30};Skilift;TLM_UEBRIGE_BAHN;k_W;{A12FD892-1D7C-4B97-85A6-4D578B7001F6};Gurnigelbad;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2600837;1178425;1240
{6ADF1367-6267-4BF4-AE4F-A7A1E9CC64AB};Skilift;TLM_UEBRIGE_BAHN;k_W;{80418CAF-C094-4111-A2F1-EA69BFF53475};Selital;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2596504;1177080;1439
{F376A9C6-F82D-453D-84DD-3CBBB2133D83};Skilift;TLM_UEBRIGE_BAHN;k_W;{A6703452-6BA0-4A81-BA45-57B8AD4C2F56};Gägger;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2596586;1177111;1418
{4945BFD2-5ABD-41D6-B324-E6062DB3CAE1};Skilift;TLM_UEBRIGE_BAHN;k_W;{FF2CEA5C-E3A1-4618-A243-AFB615E86316};Lischboden;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2599348;1176711;1469
{4C1F65C6-0A2E-47BD-B0DF-F89D9E74EA31};Skilift;TLM_UEBRIGE_BAHN;k_W;{907C4B10-0153-413F-9047-B5CDF66B0502};Hapfere;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2587860;1175755;896
{FBCD231B-9C58-4859-9831-3DE25E4AB6A7};Skilift;TLM_UEBRIGE_BAHN;k_W;{5CE08F00-587C-48CB-B5C8-ED244DFC67FF};Kuhberg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2600779;1174543;1527
{8D86A9B0-30A5-4017-9AB1-55DF4E2C37D8};Skilift;TLM_UEBRIGE_BAHN;k_W;{74F7C98C-0DAA-47B7-9EEB-724BFD7D446D};Länggrätli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2601141;1174825;1435
{E9DD309D-FC20-4714-A7EA-2C11AD21871B};Skilift;TLM_UEBRIGE_BAHN;k_W;{4562BA82-3DB9-454E-A61A-A29BC0B9E7FE};Schwefelberg-Louigrat;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2597944;1173307;1560
{8C1008A8-70A3-4655-9DF4-D8A66AF485AE};Skilift;TLM_UEBRIGE_BAHN;k_W;{FCBE4845-FB3C-44B8-851D-FE8AB951068B};Ottenleue-Egg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2594346;1175987;1520
{6156B555-9D88-4A60-919F-2FD4AF069706};Skilift;TLM_UEBRIGE_BAHN;k_W;{92F3972E-34B7-489C-95B6-95701276C74C};La Montagne;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2569218;1170899;1086
{085A730A-FC27-4BF6-AA7C-9E9108ABA473};Skilift;TLM_UEBRIGE_BAHN;k_W;{1F031892-588F-4716-9B35-D72CAD39723D};Le Brand-La Gormanda;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2578784;1170401;1125
{D4315FB1-3809-4B5E-B3FD-83C072DFBEEA};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{FA632BFC-65CD-40AD-9BF8-DC201688900F};Solepraz;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2569465;1136263;1514
{650B0E03-1307-4472-9F0E-0A0588717D33};Skilift;TLM_UEBRIGE_BAHN;k_W;{479187BC-A4F2-4E0C-ADEE-989B936221F1};Parchets II;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2572966;1138035;1592
{9EFB5FFC-43B5-49A7-BD12-C2D37495910C};Skilift;TLM_UEBRIGE_BAHN;k_W;{4DCCAA6A-92C9-4AB3-8B4D-4A85BC0C535F};Crettex;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2573052;1138229;1581
{6026C516-A255-4710-BEE0-0DAF8CA0B32C};Skilift;TLM_UEBRIGE_BAHN;k_W;{668C94E4-56AD-4A9C-A8DA-2B4D17884254};Dorchaux II;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2573204;1138605;1563
{6AE48649-AAC8-48FE-893E-5C28CE711937};Skilift;TLM_UEBRIGE_BAHN;k_W;{0F8EE61F-30B3-41FD-8012-B7F1574719EB};Dorchaux III;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2573380;1138977;1532
{9984C207-221B-4BC0-8F3C-A0926B5F46AD};Skilift;TLM_UEBRIGE_BAHN;k_W;{195D2278-0B0D-408F-AACD-5E541F1FEBD7};L'Arsat;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2573420;1139710;1512
{6553630E-90C8-4C36-8854-2DCDB81D4C7C};Skilift;TLM_UEBRIGE_BAHN;k_W;{8B21916F-EB30-43AD-B294-207BE708D033};Les Fontaines;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2574367;1138154;1489
{463E1013-181D-4C11-B288-8955590A8FAF};Skilift;TLM_UEBRIGE_BAHN;k_W;{26AAA35B-44CF-4108-BC85-615659C601F9};Palette;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2580963;1134918;1827
{28CBF963-F4F7-41B5-8F92-3A1D74466B36};Skilift;TLM_UEBRIGE_BAHN;k_W;{327E1C93-E75B-4BAA-94A3-27607D4C7BF1};Floriettaz;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2581146;1135591;1898
